"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2023. ",
Date,DJIA
12/31/1946,177.2
1/2/1947,176.39
1/3/1947,176.76
1/4/1947,176.92
1/6/1947,178.43
1/7/1947,177.49
1/8/1947,178.06
1/9/1947,178.43
1/10/1947,177.43
1/11/1947,175.25
1/13/1947,172.49
1/14/1947,172.63
1/15/1947,172.1
1/16/1947,171.95
1/17/1947,174.76
1/18/1947,175.92
1/20/1947,174.06
1/21/1947,173.51
1/22/1947,173.77
1/23/1947,175.13
1/24/1947,175.49
1/25/1947,175.35
1/27/1947,177.28
1/28/1947,178.68
1/29/1947,180.17
1/30/1947,179.74
1/31/1947,180.44
2/1/1947,180.88
2/3/1947,181.92
2/4/1947,182.28
2/5/1947,182.52
2/6/1947,181.57
2/7/1947,183.74
2/8/1947,184.49
2/10/1947,183.57
2/11/1947,184.06
2/13/1947,182.18
2/14/1947,181.64
2/15/1947,181.36
2/17/1947,182.2
2/18/1947,181.93
2/19/1947,180.78
2/20/1947,180.74
2/21/1947,182.26
2/24/1947,181.4
2/25/1947,179.31
2/26/1947,177.22
2/27/1947,178.91
2/28/1947,178.9
3/1/1947,179.29
3/3/1947,179.43
3/4/1947,179.77
3/5/1947,181.16
3/6/1947,181.88
3/7/1947,177.05
3/8/1947,175.84
3/10/1947,175.18
3/11/1947,173.83
3/12/1947,174.68
3/13/1947,174.35
3/14/1947,172.58
3/15/1947,172.37
3/17/1947,173.35
3/18/1947,174.95
3/19/1947,175.78
3/20/1947,175.37
3/21/1947,176.9
3/22/1947,177.27
3/24/1947,176.4
3/25/1947,175.29
3/26/1947,177.1
3/27/1947,179.19
3/28/1947,178.63
3/29/1947,178.36
3/31/1947,177.2
4/1/1947,177.45
4/2/1947,177.32
4/3/1947,176.52
4/5/1947,176.71
4/7/1947,175.39
4/8/1947,173.29
4/9/1947,173.4
4/10/1947,173.98
4/11/1947,173.43
4/12/1947,171.76
4/14/1947,166.69
4/15/1947,166.82
4/16/1947,168.22
4/17/1947,168.01
4/18/1947,166.77
4/19/1947,168.44
4/21/1947,169.5
4/22/1947,170.94
4/23/1947,170.87
4/24/1947,170.19
4/25/1947,168.93
4/26/1947,169.13
4/28/1947,168.85
4/29/1947,168.7
4/30/1947,170.64
5/1/1947,171.91
5/2/1947,173.45
5/3/1947,174
