Date,DJIA
1/2/47,176.39
1/3/47,176.76
1/4/47,176.92
1/6/47,178.43
1/7/47,177.49
1/8/47,178.06
1/9/47,178.43
1/10/47,177.43
1/11/47,175.25
1/13/47,172.49
1/14/47,172.63
1/15/47,172.1
1/16/47,171.95
1/17/47,174.76
1/18/47,175.92
1/20/47,174.06
1/21/47,173.51
1/22/47,173.77
1/23/47,175.13
1/24/47,175.49
1/25/47,175.35
1/27/47,177.28
1/28/47,178.68
1/29/47,180.17
1/30/47,179.74
1/31/47,180.44
2/1/47,180.88
2/3/47,181.92
2/4/47,182.28
2/5/47,182.52
2/6/47,181.57
2/7/47,183.74
2/8/47,184.49
2/10/47,183.57
2/11/47,184.06
2/13/47,182.18
2/14/47,181.64
2/15/47,181.36
2/17/47,182.2
2/18/47,181.93
2/19/47,180.78
2/20/47,180.74
2/21/47,182.26
2/24/47,181.4
2/25/47,179.31
2/26/47,177.22
2/27/47,178.91
2/28/47,178.9
3/1/47,179.29
3/3/47,179.43
3/4/47,179.77
3/5/47,181.16
3/6/47,181.88
3/7/47,177.05
3/8/47,175.84
3/10/47,175.18
3/11/47,173.83
3/12/47,174.68
3/13/47,174.35
3/14/47,172.58
3/15/47,172.37
3/17/47,173.35
3/18/47,174.95
3/19/47,175.78
3/20/47,175.37
3/21/47,176.9
3/22/47,177.27
3/24/47,176.4
3/25/47,175.29
3/26/47,177.1
3/27/47,179.19
3/28/47,178.63
3/29/47,178.36
3/31/47,177.2
4/1/47,177.45
4/2/47,177.32
4/3/47,176.52
4/5/47,176.71
4/7/47,175.39
4/8/47,173.29
4/9/47,173.4
4/10/47,173.98
4/11/47,173.43
4/12/47,171.76
4/14/47,166.69
4/15/47,166.82
4/16/47,168.22
4/17/47,168.01
4/18/47,166.77
4/19/47,168.44
4/21/47,169.5
4/22/47,170.94
4/23/47,170.87
4/24/47,170.19
4/25/47,168.93
4/26/47,169.13
4/28/47,168.85
4/29/47,168.7
4/30/47,170.64
5/1/47,171.91
5/2/47,173.45
5/3/47,174
5/5/47,174.21
5/6/47,172.77
5/7/47,172.49
5/8/47,171.56
5/9/47,171.54
5/10/47,171.67
5/12/47,169.8
5/13/47,167.34
5/14/47,166.68
5/15/47,167.88
5/16/47,164.96
5/17/47,163.21
5/19/47,163.55
5/20/47,163.59
5/21/47,165.77
5/22/47,166.73
5/23/47,166.95
5/24/47,166.97
5/26/47,166.29
5/27/47,166.17
5/28/47,168.06
5/29/47,169.25
6/2/47,168
6/3/47,170.35
6/4/47,169.56
6/5/47,169.41
6/6/47,170.28
6/9/47,169.88
6/10/47,171.1
6/11/47,174.68
6/12/47,173.78
6/13/47,175.49
6/16/47,175.81
6/17/47,174.98
6/18/47,174.94
6/19/47,176.14
6/20/47,176.44
6/23/47,177.44
6/24/47,174.54
6/25/47,175.73
6/26/47,176.58
6/27/47,176.56
6/30/47,177.3
7/1/47,180.33
7/2/47,179.88
7/3/47,181.73
7/7/47,182.04
7/8/47,182.66
7/9/47,181.72
7/10/47,182.8
7/11/47,184.77
7/14/47,185.6
7/15/47,185.38
7/16/47,185.46
7/17/47,183.83
7/18/47,184.6
7/21/47,183.52
7/22/47,183.78
7/23/47,184.95
7/24/47,186.85
7/25/47,186.38
7/28/47,184.95
7/29/47,182.05
7/30/47,180.91
7/31/47,183.18
8/1/47,183.81
8/4/47,182.51
8/5/47,183.08
8/6/47,182.35
8/7/47,182.11
8/8/47,180.13
8/11/47,178.98
8/12/47,179.94
8/13/47,179.8
8/14/47,179.87
8/15/47,181.04
8/18/47,180.44
8/19/47,179.75
8/20/47,179.01
8/21/47,179.42
8/22/47,179.74
8/25/47,177.57
8/26/47,177.73
8/27/47,177.88
8/28/47,177.7
8/29/47,178.85
9/2/47,179.81
9/3/47,179.09
9/4/47,177.27
9/5/47,177.13
9/8/47,175.14
9/9/47,175.32
9/10/47,176.24
9/11/47,176.16
9/12/47,175.92
9/15/47,175.3
9/16/47,176.7
9/17/47,178.73
9/18/47,178.31
9/19/47,178.12
9/22/47,178.02
9/23/47,176.04
9/24/47,176.39
9/25/47,175.29
9/26/47,174.86
9/29/47,175.85
9/30/47,177.49
10/1/47,178.1
10/2/47,178.47
10/3/47,179.53
10/4/47,179.44
10/6/47,180.08
10/7/47,180.01
10/8/47,178.78
10/9/47,180.11
10/10/47,180.44
10/11/47,180.49
10/14/47,182.73
10/15/47,183.28
10/16/47,183.54
10/17/47,183.52
10/18/47,184.25
10/20/47,185.29
10/21/47,185.09
10/22/47,184.36
10/23/47,184.5
10/24/47,182.53
10/25/47,182.73
10/27/47,183.27
10/28/47,183.21
10/29/47,183.06
10/30/47,181.32
10/31/47,181.81
11/1/47,182.48
11/3/47,182.65
11/5/47,181.89
11/6/47,182
11/7/47,181.54
11/8/47,181.49
11/10/47,182.21
11/12/47,181.04
11/13/47,180
11/14/47,180.05
11/15/47,180.26
11/17/47,180.4
11/18/47,181.71
11/19/47,182.71
11/20/47,183.17
11/21/47,182.61
11/22/47,182.33
11/24/47,181.98
11/25/47,181.35
11/26/47,180.94
11/28/47,179.51
11/29/47,179.4
12/1/47,180.61
12/2/47,180.76
12/3/47,179.63
12/4/47,178.79
12/5/47,176.1
12/6/47,175.74
12/8/47,176.71
12/9/47,177.47
12/10/47,177.58
12/11/47,177.37
12/12/47,178.37
12/13/47,179.34
12/15/47,179.69
12/16/47,179.44
12/17/47,179.81
12/18/47,179.44
12/19/47,180.09
12/20/47,181.06
12/22/47,180.21
12/23/47,180.71
12/24/47,180.84
12/26/47,179.28
12/27/47,179.23
12/29/47,178.58
12/30/47,180.56
12/31/47,181.16
1/2/48,181.04
1/5/48,179.53
1/6/48,179.12
1/7/48,179.83
1/8/48,180.6
1/9/48,180.09
1/10/48,180.2
1/12/48,179.33
1/13/48,177.49
1/14/48,177.37
1/15/48,177.03
1/16/48,177.15
1/17/48,177.24
1/19/48,175.95
1/20/48,175.27
1/21/48,173.53
1/22/48,172.15
1/23/48,171.97
1/24/48,171.67
1/26/48,171.18
1/27/48,171.42
1/28/48,172.97
1/29/48,174.47
1/30/48,174.76
1/31/48,175.05
2/2/48,174.92
2/3/48,173.95
2/4/48,170.95
2/5/48,169.18
2/6/48,168.81
2/7/48,169.79
2/9/48,169.82
2/10/48,165.65
2/11/48,165.69
2/13/48,166.33
2/14/48,166.18
2/16/48,168.3
2/17/48,167.89
2/18/48,168.04
2/19/48,167.86
2/20/48,167.44
2/21/48,167.6
2/24/48,167.8
2/25/48,168.39
2/26/48,167.56
2/27/48,166.8
2/28/48,167.3
3/1/48,168.14
3/2/48,168.75
3/3/48,168.61
3/4/48,168.13
3/5/48,168.35
3/6/48,168.94
3/8/48,167.71
3/9/48,166.76
3/10/48,167.48
3/11/48,167.21
3/12/48,166.99
3/13/48,167.62
3/15/48,167.62
3/16/48,165.39
3/17/48,166.24
3/18/48,166.92
3/19/48,169.67
3/20/48,173.12
3/22/48,173.66
3/23/48,173.5
3/24/48,173.62
3/25/48,174.05
3/27/48,173.95
3/29/48,173.65
3/30/48,175.23
3/31/48,177.2
4/1/48,177.61
4/2/48,177.32
4/3/48,177.45
4/5/48,177.92
4/6/48,178.77
4/7/48,178.33
4/8/48,178.8
4/9/48,179.16
4/10/48,179.48
4/12/48,179.05
4/13/48,179.45
4/14/48,179.13
4/15/48,180.27
4/16/48,180.63
4/17/48,180.38
4/19/48,181.05
4/20/48,180.72
4/21/48,181.37
4/22/48,182.98
4/23/48,183.78
4/24/48,183.2
4/26/48,181.32
4/27/48,180.97
4/28/48,181.01
4/29/48,180.65
4/30/48,180.51
5/1/48,180.28
5/3/48,181.09
5/4/48,181.44
5/5/48,180.94
5/6/48,181.65
5/7/48,182.29
5/8/48,182.5
5/10/48,182.94
5/11/48,183.75
5/12/48,183.95
5/13/48,184.82
5/14/48,188.6
5/15/48,190.25
5/17/48,190.44
5/18/48,188.56
5/19/48,188.28
5/20/48,189.26
5/21/48,189.78
5/22/48,190
5/24/48,189.82
5/25/48,189.71
5/26/48,191.06
5/27/48,190.97
5/28/48,190.74
6/1/48,191.18
6/2/48,191.32
6/3/48,191.05
6/4/48,190.18
6/7/48,190.13
6/8/48,192.16
6/9/48,192.56
6/10/48,192.5
6/11/48,192.96
6/14/48,192.86
6/15/48,193.16
6/16/48,192.34
6/17/48,192.15
6/18/48,191.65
6/21/48,189.71
6/22/48,189.66
6/23/48,190.73
6/24/48,190.87
6/25/48,190
6/28/48,187.9
6/29/48,188.49
6/30/48,189.46
7/1/48,189.03
7/2/48,190.06
7/6/48,190.55
7/7/48,190.06
7/8/48,190.58
7/9/48,191.62
7/12/48,191.47
7/13/48,190.36
7/14/48,190.66
7/15/48,187.7
7/16/48,185.9
7/19/48,181.2
7/20/48,183.57
7/21/48,184.44
7/22/48,185.29
7/23/48,185.31
7/26/48,184.17
7/27/48,186.09
7/28/48,185.15
7/29/48,183.57
7/30/48,181.33
8/2/48,181.13
8/3/48,180.98
8/4/48,183.06
8/5/48,182.92
8/6/48,183.01
8/9/48,182.26
8/10/48,180.02
8/11/48,179.27
8/12/48,179.63
8/13/48,179.63
8/16/48,180.3
8/17/48,182.15
8/18/48,182.12
8/19/48,182.57
8/20/48,183.6
8/23/48,181.75
8/24/48,182.58
8/25/48,182.41
8/26/48,182.52
8/27/48,183.21
8/30/48,182.09
8/31/48,181.71
9/1/48,183.6
9/2/48,184.39
9/3/48,184.35
9/7/48,185.36
9/8/48,182.9
9/9/48,180.33
9/10/48,180.61
9/13/48,179.38
9/14/48,180.63
9/15/48,180.62
9/16/48,180.69
